Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-09-25 10:32PM","2020-09-26 2:10AM","201","17","13","218","49","120","32"
"2020-09-26 3:10AM","2020-09-26 5:38AM","142","2","0","148","N/A","N/A","N/A"
"2020-09-25 12:35AM","2020-09-25 5:46AM","260","26","18","286","74","144","42"
"2020-09-24 8:45PM","2020-09-25 12:00AM","177","18","9","195","53","87","37"
"2020-09-24 2:18AM","2020-09-24 4:30AM","118","14","1","132","N/A","N/A","N/A"
"2020-09-23 9:14PM","2020-09-24 1:02AM","214","14","11","228","44","139","31"
"2020-09-23 3:54AM","2020-09-23 5:46AM","109","2","1","111","N/A","N/A","N/A"
"2020-09-22 11:20PM","2020-09-23 2:43AM","177","16","6","193","50","95","32"
"2020-09-22 9:15PM","2020-09-22 10:30PM","68","1","1","75","N/A","N/A","N/A"
"2020-09-22 3:54AM","2020-09-22 5:44AM","107","2","0","109","N/A","N/A","N/A"
"2020-09-21 9:40PM","2020-09-22 2:33AM","271","22","16","293","46","172","53"
"2020-09-21 3:25AM","2020-09-21 6:09AM","147","11","2","164","N/A","N/A","N/A"
"2020-09-20 10:44PM","2020-09-21 1:30AM","158","8","1","166","N/A","N/A","N/A"
"2020-09-20 4:34AM","2020-09-20 6:29AM","115","0","0","115","N/A","N/A","N/A"
"2020-09-20 1:18AM","2020-09-20 3:07AM","102","7","0","109","N/A","N/A","N/A"
"2020-09-19 9:15PM","2020-09-19 11:18PM","122","1","0","123","N/A","N/A","N/A"
"2020-09-19 4:02AM","2020-09-19 6:15AM","128","5","0","133","N/A","N/A","N/A"
"2020-09-18 9:20PM","2020-09-19 2:05AM","264","21","17","285","68","154","42"
"2020-09-18 3:37AM","2020-09-18 6:03AM","140","5","0","145","N/A","N/A","N/A"
"2020-09-17 9:09PM","2020-09-18 2:07AM","273","25","13","298","40","208","25"
"2020-09-17 2:57AM","2020-09-17 5:48AM","163","8","1","171","N/A","N/A","N/A"
"2020-09-16 9:00PM","2020-09-17 1:35AM","249","26","15","275","20","188","41"
"2020-09-16 3:32AM","2020-09-16 5:28AM","116","0","0","116","N/A","N/A","N/A"
"2020-09-15 8:46PM","2020-09-16 1:31AM","262","23","15","285","53","156","53"
"2020-09-15 3:41AM","2020-09-15 5:32AM","106","1","0","111","N/A","N/A","N/A"
"2020-09-14 9:10PM","2020-09-15 1:58AM","260","28","15","288","43","162","55"
"2020-09-14 2:35AM","2020-09-14 6:15AM","199","21","8","220","81","105","13"
"2020-09-13 9:17PM","2020-09-14 12:22AM","158","27","8","185","36","82","40"
"2020-09-12 9:53PM","2020-09-13 2:20AM","237","30","13","267","23","194","20"
"2020-09-13 3:20AM","2020-09-13 5:45AM","117","8","1","145","N/A","N/A","N/A"
"2020-09-11 8:44PM","2020-09-12 3:15AM","343","48","23","391","79","217","47"

